Stat	Net	Cha	Lo	Start time	End time	Lat	Lon	Elev
ME46	XQ	BHE	01	2007/09/13,00:00:00	2009/12/31,00:00:00	39.195999	-122.968002	425.0
ME46	XQ	BHN	01	2007/09/13,00:00:00	2009/12/31,00:00:00	39.195999	-122.968002	425.0
ME46	XQ	BHZ	01	2007/09/13,00:00:00	2009/12/31,00:00:00	39.195999	-122.968002	425.0
ME47	XQ	BHE	01	2007/09/12,00:00:00	2009/12/31,00:00:00	39.1124	-122.8106	434.0
ME47	XQ	BHN	01	2007/09/12,00:00:00	2009/12/31,00:00:00	39.1124	-122.8106	434.0
ME47	XQ	BHZ	01	2007/09/12,00:00:00	2009/12/31,00:00:00	39.1124	-122.8106	434.0
ME48	XQ	BHE	01	2007/09/11,00:00:00	2009/12/31,00:00:00	38.9063	-122.7603	714.0
ME48	XQ	BHN	01	2007/09/11,00:00:00	2009/12/31,00:00:00	38.9063	-122.7603	714.0
ME48	XQ	BHZ	01	2007/09/11,00:00:00	2009/12/31,00:00:00	38.9063	-122.7603	714.0
ME49	XQ	BHE	01	2007/09/17,00:00:00	2009/12/31,00:00:00	39.8633	-123.719398	284.0
ME49	XQ	BHN	01	2007/09/17,00:00:00	2009/12/31,00:00:00	39.8633	-123.719398	284.0
ME49	XQ	BHZ	01	2007/09/17,00:00:00	2009/12/31,00:00:00	39.8633	-123.719398	284.0
ME50	XQ	BHE	01	2007/09/13,00:00:00	2009/12/31,00:00:00	39.622002	-123.474998	634.0
ME50	XQ	BHN	01	2007/09/13,00:00:00	2009/12/31,00:00:00	39.622002	-123.474998	634.0
ME50	XQ	BHZ	01	2007/09/13,00:00:00	2009/12/31,00:00:00	39.622002	-123.474998	634.0
ME52	XQ	BHE	01	2007/09/14,00:00:00	2009/12/31,00:00:00	39.3228	-123.219101	271.0
ME52	XQ	BHN	01	2007/09/14,00:00:00	2009/12/31,00:00:00	39.3228	-123.219101	271.0
ME52	XQ	BHZ	01	2007/09/14,00:00:00	2009/12/31,00:00:00	39.3228	-123.219101	271.0
ME53	XQ	BHE	01	2007/09/23,00:00:00	2009/12/31,00:00:00	39.2229	-123.593399	165.0
ME53	XQ	BHN	01	2007/09/23,00:00:00	2009/12/31,00:00:00	39.2229	-123.593399	165.0
ME53	XQ	BHZ	01	2007/09/23,00:00:00	2009/12/31,00:00:00	39.2229	-123.593399	165.0
ME54	XQ	BHE	01	2007/09/24,00:00:00	2009/12/31,00:00:00	39.013199	-123.377899	109.0
ME54	XQ	BHN	01	2007/09/24,00:00:00	2009/12/31,00:00:00	39.013199	-123.377899	109.0
ME54	XQ	BHZ	01	2007/09/24,00:00:00	2009/12/31,00:00:00	39.013199	-123.377899	109.0
ME55	XQ	BHE	01	2007/02/18,00:00:00	2009/12/31,00:00:00	38.663898	-123.076202	437.0
ME55	XQ	BHN	01	2007/02/18,00:00:00	2009/12/31,00:00:00	38.663898	-123.076202	437.0
ME55	XQ	BHZ	01	2007/02/18,00:00:00	2009/12/31,00:00:00	38.663898	-123.076202	437.0
ME56	XQ	BHE	01	2008/06/06,00:00:00	2009/12/31,00:00:00	39.887001	-122.8731	1534.0
ME56	XQ	BHN	01	2008/06/06,00:00:00	2009/12/31,00:00:00	39.887001	-122.8731	1534.0
ME56	XQ	BHZ	01	2008/06/06,00:00:00	2009/12/31,00:00:00	39.887001	-122.8731	1534.0
ME57	XQ	BHE	01	2007/10/23,00:00:00	2009/12/31,00:00:00	39.9118	-122.567596	266.0
ME57	XQ	BHN	01	2007/10/23,00:00:00	2009/12/31,00:00:00	39.9118	-122.567596	266.0
ME57	XQ	BHZ	01	2007/10/23,00:00:00	2009/12/31,00:00:00	39.9118	-122.567596	266.0
ME59	XQ	BHE	01	2007/07/17,00:00:00	2009/12/31,00:00:00	39.830002	-121.833	135.0
ME59	XQ	BHN	01	2007/07/17,00:00:00	2009/12/31,00:00:00	39.830002	-121.833	135.0
ME59	XQ	BHZ	01	2007/07/17,00:00:00	2009/12/31,00:00:00	39.830002	-121.833	135.0
ME60	XQ	BHE	01	2008/04/06,00:00:00	2009/12/31,00:00:00	39.949001	-121.5364	1181.0
ME60	XQ	BHN	01	2008/04/06,00:00:00	2009/12/31,00:00:00	39.949001	-121.5364	1181.0
ME60	XQ	BHZ	01	2008/04/06,00:00:00	2009/12/31,00:00:00	39.949001	-121.5364	1181.0
ME61	XQ	BHE	01	2007/10/23,00:00:00	2009/12/31,00:00:00	39.532001	-122.295998	65.0
ME61	XQ	BHN	01	2007/10/23,00:00:00	2009/12/31,00:00:00	39.532001	-122.295998	65.0
ME61	XQ	BHZ	01	2007/10/23,00:00:00	2009/12/31,00:00:00	39.532001	-122.295998	65.0
ME62	XQ	BHE	01	2007/07/19,00:00:00	2009/12/31,00:00:00	39.534	-121.918999	25.0
ME62	XQ	BHN	01	2007/07/19,00:00:00	2009/12/31,00:00:00	39.534	-121.918999	25.0
ME62	XQ	BHZ	01	2007/07/19,00:00:00	2009/12/31,00:00:00	39.534	-121.918999	25.0
ME63	XQ	BHE	01	2007/10/25,00:00:00	2009/12/31,00:00:00	39.315399	-122.5224	390.0
ME63	XQ	BHN	01	2007/10/25,00:00:00	2009/12/31,00:00:00	39.315399	-122.5224	390.0
ME63	XQ	BHZ	01	2007/10/25,00:00:00	2009/12/31,00:00:00	39.315399	-122.5224	390.0
ME64	XQ	BHE	01	2007/10/24,00:00:00	2009/12/31,00:00:00	39.275101	-122.155197	-5.0
ME64	XQ	BHN	01	2007/10/24,00:00:00	2009/12/31,00:00:00	39.275101	-122.155197	-5.0
ME64	XQ	BHZ	01	2007/10/24,00:00:00	2009/12/31,00:00:00	39.275101	-122.155197	-5.0
ME65	XQ	BHE	01	2007/10/25,00:00:00	2009/12/31,00:00:00	39.004902	-122.141602	91.0
ME65	XQ	BHN	01	2007/10/25,00:00:00	2009/12/31,00:00:00	39.004902	-122.141602	91.0
ME65	XQ	BHZ	01	2007/10/25,00:00:00	2009/12/31,00:00:00	39.004902	-122.141602	91.0
ME80	XQ	BHE	01	2007/09/19,00:00:00	2009/12/31,00:00:00	40.345299	-120.6017	1336.0
ME80	XQ	BHN	01	2007/09/19,00:00:00	2009/12/31,00:00:00	40.345299	-120.6017	1336.0
ME80	XQ	BHZ	01	2007/09/19,00:00:00	2009/12/31,00:00:00	40.345299	-120.6017	1336.0
ME81	XQ	BHE	01	2007/09/18,00:00:00	2009/12/31,00:00:00	40.1096	-121.172302	1585.0
ME81	XQ	BHN	01	2007/09/18,00:00:00	2009/12/31,00:00:00	40.1096	-121.172302	1585.0
ME81	XQ	BHZ	01	2007/09/18,00:00:00	2009/12/31,00:00:00	40.1096	-121.172302	1585.0
ME82	XQ	BHE	01	2007/09/18,00:00:00	2009/12/31,00:00:00	39.719002	-121.527	658.0
ME82	XQ	BHN	01	2007/09/18,00:00:00	2009/12/31,00:00:00	39.719002	-121.527	658.0
ME82	XQ	BHZ	01	2007/09/18,00:00:00	2009/12/31,00:00:00	39.719002	-121.527	658.0
ME83	XQ	BHE	01	2007/09/19,00:00:00	2009/12/31,00:00:00	40.180801	-120.397301	1360.0
ME83	XQ	BHN	01	2007/09/19,00:00:00	2009/12/31,00:00:00	40.180801	-120.397301	1360.0
ME83	XQ	BHZ	01	2007/09/19,00:00:00	2009/12/31,00:00:00	40.180801	-120.397301	1360.0
ME84	XQ	BHE	01	2007/09/19,00:00:00	2009/12/31,00:00:00	40.025002	-120.1875	1804.0
ME84	XQ	BHN	01	2007/09/19,00:00:00	2009/12/31,00:00:00	40.025002	-120.1875	1804.0
ME84	XQ	BHZ	01	2007/09/19,00:00:00	2009/12/31,00:00:00	40.025002	-120.1875	1804.0
ME85	XQ	BHE	01	2007/09/19,00:00:00	2009/12/31,00:00:00	40.0112	-120.641197	351.0
ME85	XQ	BHN	01	2007/09/19,00:00:00	2009/12/31,00:00:00	40.0112	-120.641197	351.0
ME85	XQ	BHZ	01	2007/09/19,00:00:00	2009/12/31,00:00:00	40.0112	-120.641197	351.0
ME86	XQ	BHE	01	2007/09/20,00:00:00	2009/12/31,00:00:00	39.804298	-120.7136	1530.0
ME86	XQ	BHN	01	2007/09/20,00:00:00	2009/12/31,00:00:00	39.804298	-120.7136	1530.0
ME86	XQ	BHZ	01	2007/09/20,00:00:00	2009/12/31,00:00:00	39.804298	-120.7136	1530.0
ME87	XQ	BHE	01	2007/09/19,00:00:00	2009/12/31,00:00:00	39.681801	-121.091301	1536.0
ME87	XQ	BHN	01	2007/09/19,00:00:00	2009/12/31,00:00:00	39.681801	-121.091301	1536.0
ME87	XQ	BHZ	01	2007/09/19,00:00:00	2009/12/31,00:00:00	39.681801	-121.091301	1536.0
ME88	XQ	BHE	01	2007/09/19,00:00:00	2009/12/31,00:00:00	39.236198	-121.346901	124.0
ME88	XQ	BHN	01	2007/09/19,00:00:00	2009/12/31,00:00:00	39.236198	-121.346901	124.0
ME88	XQ	BHZ	01	2007/09/19,00:00:00	2009/12/31,00:00:00	39.236198	-121.346901	124.0
ME89	XQ	BHE	01	2007/09/19,00:00:00	2009/12/31,00:00:00	39.383701	-121.162598	796.0
