Stat	Net	Cha	Lo	Rate	Start time	End time	Lat	Lon	Elev	Depth	Dip	Azimuth
B003	PB	RK1	T0	0.0005556	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	0.0	0.0	0.0
B003	PB	RK2	T0	0.0005556	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	0.0	0.0	0.0
B003	PB	RKD	--	0.0033333	2006/01/03,00:00:00	2009/11/20,00:00:00	48.06236	-124.14086	284.7	50.3	0.0	0.0
B003	PB	RKD	T0	0.0005556	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	0.0
B003	PB	RRO	TS	0.0005556	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	0.0	0.0	0.0
B003	PB	RS1	T0	0.0016670	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	250.7
B003	PB	RS2	T0	0.0016670	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	190.7
B003	PB	RS3	T0	0.0016670	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	130.7
B003	PB	RS4	T0	0.0016670	2005/06/21,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	169.8	0.0	100.7
B003	PB	VCO	--	0.1000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	VEA	--	0.1000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	VEC	--	0.1000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	VEP	--	0.1000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	VKI	--	0.1000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B003	PB	VPB	--	0.1000000	2005/06/26,00:00:00	3000/01/01,00:00:00	48.06236	-124.14086	284.7	159.7	0.0	0.0
B004	PB	BS1	T0	20.0000000	2005/06/15,00:00:00	3000/01/01,00:00:00	48.20193	-124.42701	30.0	166.1	0.0	168.2
B004	PB	BS2	T0	20.0000000	2005/06/15,00:00:00	3000/01/01,00:00:00	48.20193	-124.42701	30.0	166.1	0.0	108.2
