Stat	Net	Cha	Lo	Rate	Start time	End time	Lat	Lon	Elev	Depth	Dip	Azimuth
BBEB	BK	DP1	--	500.0000000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-213.7	182.9	-90.0	0.0
BBEB	BK	DP2	--	500.0000000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-213.7	182.9	0.0	19.0
BBEB	BK	DP3	--	500.0000000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-213.7	182.9	0.0	109.0
BBEB	BK	EP1	--	100.0000000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-213.7	182.9	-90.0	0.0
BBEB	BK	EP2	--	100.0000000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-213.7	182.9	0.0	19.0
BBEB	BK	EP3	--	100.0000000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-213.7	182.9	0.0	109.0
BBEB	BK	LEP	--	1.0000000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-213.7	182.9	0.0	0.0
BBEB	BK	LP1	--	1.0000000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-213.7	182.9	-90.0	0.0
BBEB	BK	LP2	--	1.0000000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-213.7	182.9	0.0	19.0
BBEB	BK	LP3	--	1.0000000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-213.7	182.9	0.0	109.0
BBEB	BK	UCD	--	0.0100000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-30.8	0.0	0.0	0.0
BBEB	BK	UCQ	--	0.0100000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-30.8	0.0	0.0	0.0
BBEB	BK	UEP	--	0.0100000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-213.7	182.9	0.0	0.0
BBEB	BK	UF1	--	0.0100000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-30.8	0.0	0.0	0.0
BBEB	BK	UFC	--	0.0100000	2002/09/10,02:54:00	2007/11/20,01:30:00	37.82160	-122.32975	-30.8	0.0	0.0	0.0
BDM	BK	BHE	--	20.0000000	1998/11/12,00:00:00	1999/09/30,20:45:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	BHE	--	20.0000000	1999/09/30,20:45:00	1999/12/03,19:26:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	BHE	--	20.0000000	1999/12/03,19:26:00	2000/03/06,00:01:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	BHE	--	20.0000000	2000/03/06,00:01:00	2000/08/08,16:00:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	BHE	--	20.0000000	2000/08/08,16:00:00	2004/06/15,00:00:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	BHE	--	40.0000000	2004/06/15,00:00:00	2011/01/13,19:30:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	BHE	0	40.0000000	2011/01/13,19:30:00	3000/01/01,00:00:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	BHN	--	20.0000000	1998/11/12,00:00:00	1999/09/30,20:45:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	BHN	--	20.0000000	1999/09/30,20:45:00	1999/12/03,19:26:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	BHN	--	20.0000000	1999/12/03,19:26:00	2000/03/06,00:01:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	BHN	--	20.0000000	2000/03/06,00:01:00	2000/08/08,16:00:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	BHN	--	20.0000000	2000/08/08,16:00:00	2004/06/15,00:00:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	BHN	--	40.0000000	2004/06/15,00:00:00	2011/01/13,19:30:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	BHN	0	40.0000000	2011/01/13,19:30:00	3000/01/01,00:00:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	BHZ	--	20.0000000	1998/11/12,00:00:00	1999/09/30,20:45:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	BHZ	--	20.0000000	1999/09/30,20:45:00	1999/12/03,19:26:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	BHZ	--	20.0000000	1999/12/03,19:26:00	2000/03/06,00:01:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	BHZ	--	20.0000000	2000/03/06,00:01:00	2000/08/08,16:00:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	BHZ	--	20.0000000	2000/08/08,16:00:00	2004/06/15,00:00:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
